Hafta,dugun
2019-01-06,43
2019-01-13,44
2019-01-20,52
2019-01-27,53
2019-02-03,59
2019-02-10,46
2019-02-17,47
2019-02-24,48
2019-03-03,49
2019-03-10,55
2019-03-17,57
2019-03-24,56
2019-03-31,49
2019-04-07,67
2019-04-14,79
2019-04-21,76
2019-04-28,62
2019-05-05,41
2019-05-12,45
2019-05-19,44
2019-05-26,41
2019-06-02,69
2019-06-09,89
2019-06-16,91
2019-06-23,86
2019-06-30,89
2019-07-07,86
2019-07-14,80
2019-07-21,80
2019-07-28,83
2019-08-04,62
2019-08-11,86
2019-08-18,92
2019-08-25,100
2019-09-01,93
2019-09-08,82
2019-09-15,75
2019-09-22,66
2019-09-29,67
2019-10-06,61
2019-10-13,63
2019-10-20,65
2019-10-27,68
2019-11-03,55
2019-11-10,56
2019-11-17,58
2019-11-24,50
2019-12-01,46
2019-12-08,43
2019-12-15,47
2019-12-22,42
2019-12-29,41
