Hafta,e-ticaret
2015-01-04,100
2015-01-11,86
2015-01-18,81
2015-01-25,58
2015-02-01,63
2015-02-08,57
2015-02-15,82
2015-02-22,85
2015-03-01,85
2015-03-08,65
2015-03-15,99
2015-03-22,99
2015-03-29,43
2015-04-05,53
2015-04-12,71
2015-04-19,79
2015-04-26,81
2015-05-03,67
2015-05-10,96
2015-05-17,40
2015-05-24,64
2015-05-31,64
2015-06-07,46
2015-06-14,60
2015-06-21,39
2015-06-28,61
2015-07-05,59
2015-07-12,54
2015-07-19,62
2015-07-26,44
2015-08-02,44
2015-08-09,52
2015-08-16,44
2015-08-23,51
2015-08-30,64
2015-09-06,39
2015-09-13,65
2015-09-20,28
2015-09-27,51
2015-10-04,82
2015-10-11,80
2015-10-18,59
2015-10-25,57
2015-11-01,64
2015-11-08,60
2015-11-15,63
2015-11-22,49
2015-11-29,57
2015-12-06,56
2015-12-13,86
2015-12-20,61
2015-12-27,53
2016-01-03,94
2016-01-10,63
2016-01-17,66
2016-01-24,56
2016-01-31,67
2016-02-07,63
2016-02-14,81
2016-02-21,51
2016-02-28,44
2016-03-06,60
2016-03-13,53
2016-03-20,65
2016-03-27,60
2016-04-03,77
2016-04-10,45
2016-04-17,82
2016-04-24,76
2016-05-01,68
2016-05-08,43
2016-05-15,66
2016-05-22,37
2016-05-29,59
2016-06-05,45
2016-06-12,64
2016-06-19,39
2016-06-26,44
2016-07-03,26
2016-07-10,32
2016-07-17,27
2016-07-24,36
2016-07-31,25
2016-08-07,42
2016-08-14,26
2016-08-21,49
2016-08-28,34
2016-09-04,30
2016-09-11,41
2016-09-18,59
2016-09-25,92
2016-10-02,66
2016-10-09,24
2016-10-16,82
2016-10-23,89
2016-10-30,65
2016-11-06,44
2016-11-13,60
2016-11-20,62
2016-11-27,37
2016-12-04,39
2016-12-11,71
2016-12-18,72
2016-12-25,44
2017-01-01,49
2017-01-08,41
2017-01-15,43
2017-01-22,44
2017-01-29,77
2017-02-05,67
2017-02-12,47
2017-02-19,77
2017-02-26,61
2017-03-05,72
2017-03-12,70
2017-03-19,38
2017-03-26,74
2017-04-02,71
2017-04-09,60
2017-04-16,40
2017-04-23,76
2017-04-30,57
2017-05-07,68
2017-05-14,46
2017-05-21,45
2017-05-28,59
2017-06-04,47
2017-06-11,67
2017-06-18,62
2017-06-25,33
2017-07-02,48
2017-07-09,47
2017-07-16,83
2017-07-23,42
2017-07-30,54
2017-08-06,57
2017-08-13,45
2017-08-20,37
2017-08-27,14
2017-09-03,43
2017-09-10,52
2017-09-17,53
2017-09-24,44
2017-10-01,49
2017-10-08,57
2017-10-15,80
2017-10-22,59
2017-10-29,27
2017-11-05,43
2017-11-12,50
2017-11-19,74
2017-11-26,53
2017-12-03,51
2017-12-10,81
2017-12-17,83
2017-12-24,99
2017-12-31,40
2018-01-07,58
2018-01-14,67
2018-01-21,54
2018-01-28,75
2018-02-04,65
2018-02-11,55
2018-02-18,47
2018-02-25,50
2018-03-04,73
2018-03-11,44
2018-03-18,63
2018-03-25,67
2018-04-01,46
2018-04-08,52
2018-04-15,50
2018-04-22,52
2018-04-29,12
2018-05-06,71
2018-05-13,39
2018-05-20,51
2018-05-27,52
2018-06-03,38
2018-06-10,37
2018-06-17,39
2018-06-24,37
2018-07-01,63
2018-07-08,19
2018-07-15,28
2018-07-22,40
2018-07-29,53
2018-08-05,29
2018-08-12,26
2018-08-19,20
2018-08-26,38
2018-09-02,35
2018-09-09,35
2018-09-16,40
2018-09-23,58
2018-09-30,31
2018-10-07,40
2018-10-14,52
2018-10-21,20
2018-10-28,37
2018-11-04,50
2018-11-11,51
2018-11-18,45
2018-11-25,60
2018-12-02,54
2018-12-09,38
2018-12-16,42
2018-12-23,19
2018-12-30,69
2019-01-06,33
2019-01-13,42
2019-01-20,35
2019-01-27,50
2019-02-03,66
2019-02-10,52
2019-02-17,84
2019-02-24,67
2019-03-03,44
2019-03-10,59
2019-03-17,72
2019-03-24,42
2019-03-31,36
2019-04-07,43
2019-04-14,50
2019-04-21,24
2019-04-28,33
2019-05-05,42
2019-05-12,58
2019-05-19,61
2019-05-26,39
2019-06-02,29
2019-06-09,39
2019-06-16,44
2019-06-23,76
2019-06-30,58
2019-07-07,33
2019-07-14,41
2019-07-21,53
2019-07-28,25
2019-08-04,50
2019-08-11,46
2019-08-18,47
2019-08-25,36
2019-09-01,83
2019-09-08,75
2019-09-15,50
2019-09-22,63
2019-09-29,41
2019-10-06,41
2019-10-13,33
2019-10-20,48
2019-10-27,23
2019-11-03,73
2019-11-10,44
2019-11-17,52
2019-11-24,60
2019-12-01,39
2019-12-08,64
2019-12-15,89
2019-12-22,68
2019-12-29,49
