Hafta,valiz
2019-01-06,42
2019-01-13,39
2019-01-20,43
2019-01-27,41
2019-02-03,40
2019-02-10,41
2019-02-17,45
2019-02-24,33
2019-03-03,37
2019-03-10,39
2019-03-17,38
2019-03-24,43
2019-03-31,38
2019-04-07,40
2019-04-14,41
2019-04-21,45
2019-04-28,39
2019-05-05,44
2019-05-12,43
2019-05-19,61
2019-05-26,67
2019-06-02,68
2019-06-09,61
2019-06-16,70
2019-06-23,74
2019-06-30,69
2019-07-07,76
2019-07-14,68
2019-07-21,67
2019-07-28,94
2019-08-04,100
2019-08-11,86
2019-08-18,77
2019-08-25,72
2019-09-01,75
2019-09-08,69
2019-09-15,58
2019-09-22,47
2019-09-29,43
2019-10-06,42
2019-10-13,39
2019-10-20,43
2019-10-27,37
2019-11-03,38
2019-11-10,38
2019-11-17,46
2019-11-24,50
2019-12-01,39
2019-12-08,36
2019-12-15,38
2019-12-22,41
2019-12-29,38
